time,open,high,low,close,tick_volume
2025-03-21 04:50:00,0.55554,0.55556,0.55551,0.55554,11
2025-03-21 04:51:00,0.55555,0.55558,0.55551,0.55551,19
2025-03-21 04:52:00,0.55551,0.55553,0.55546,0.55553,19
2025-03-21 04:53:00,0.55554,0.5556,0.55554,0.55557,10
2025-03-21 04:54:00,0.55559,0.55559,0.55549,0.55549,24
2025-03-21 04:55:00,0.55548,0.5555,0.55544,0.55546,19
2025-03-21 04:56:00,0.55546,0.55548,0.55545,0.55548,12
2025-03-21 04:57:00,0.55547,0.55554,0.55546,0.55552,15
2025-03-21 04:58:00,0.55551,0.55555,0.5555,0.5555,21
2025-03-21 04:59:00,0.55551,0.55552,0.55537,0.55537,21
2025-03-21 05:00:00,0.5554,0.55544,0.55535,0.55541,38
2025-03-21 05:01:00,0.55541,0.55541,0.55534,0.55535,18
2025-03-21 05:02:00,0.55534,0.55534,0.55526,0.5553,26
2025-03-21 05:03:00,0.55528,0.55529,0.55525,0.55527,25
2025-03-21 05:04:00,0.55526,0.5553,0.55524,0.55525,18
2025-03-21 05:05:00,0.55526,0.55531,0.55526,0.55529,17
2025-03-21 05:06:00,0.5553,0.55537,0.5553,0.55536,21
2025-03-21 05:07:00,0.55536,0.55537,0.55529,0.55532,14
2025-03-21 05:08:00,0.55533,0.55535,0.55529,0.55535,17
2025-03-21 05:09:00,0.55534,0.55544,0.55531,0.55544,15
2025-03-21 05:10:00,0.55547,0.55552,0.55545,0.5555,15
2025-03-21 05:11:00,0.55549,0.55553,0.55548,0.55553,18
2025-03-21 05:12:00,0.55552,0.55556,0.55551,0.55551,17
2025-03-21 05:13:00,0.55552,0.55552,0.55547,0.55551,11
2025-03-21 05:14:00,0.55549,0.55552,0.55542,0.55545,13
2025-03-21 05:15:00,0.55546,0.55546,0.55532,0.55533,21
2025-03-21 05:16:00,0.55533,0.55537,0.55532,0.55532,22
2025-03-21 05:17:00,0.55533,0.55535,0.55529,0.55534,17
2025-03-21 05:18:00,0.55532,0.55534,0.55526,0.55533,25
2025-03-21 05:19:00,0.55534,0.55537,0.55533,0.55533,13
2025-03-21 05:20:00,0.55533,0.55535,0.5553,0.5553,17
2025-03-21 05:21:00,0.55531,0.55537,0.5553,0.55537,15
2025-03-21 05:22:00,0.55538,0.55539,0.55527,0.55529,24
2025-03-21 05:23:00,0.55529,0.55529,0.55523,0.55525,16
2025-03-21 05:24:00,0.55525,0.55526,0.55522,0.55523,17
2025-03-21 05:25:00,0.55522,0.55529,0.55522,0.55529,15
2025-03-21 05:26:00,0.55531,0.55533,0.55528,0.5553,17
2025-03-21 05:27:00,0.5553,0.55532,0.55528,0.55528,12
2025-03-21 05:28:00,0.55529,0.55534,0.55527,0.55529,24
2025-03-21 05:29:00,0.5553,0.5553,0.55524,0.55526,22
2025-03-21 05:30:00,0.55526,0.55532,0.55522,0.55532,24
2025-03-21 05:31:00,0.55531,0.55535,0.55528,0.55529,13
2025-03-21 05:32:00,0.55529,0.55533,0.55526,0.55528,23
2025-03-21 05:33:00,0.55528,0.55532,0.55526,0.55532,15
2025-03-21 05:34:00,0.55533,0.55535,0.55524,0.55525,22
2025-03-21 05:35:00,0.55526,0.55526,0.55516,0.5552,26
2025-03-21 05:36:00,0.55521,0.55531,0.55521,0.5553,26
2025-03-21 05:37:00,0.55532,0.55536,0.55525,0.55526,17
2025-03-21 05:38:00,0.55526,0.55531,0.55526,0.55531,10
2025-03-21 05:39:00,0.55532,0.55541,0.55532,0.55541,16
2025-03-21 05:40:00,0.5554,0.55544,0.55538,0.55542,10
2025-03-21 05:41:00,0.55542,0.55548,0.55541,0.55542,20
2025-03-21 05:42:00,0.55543,0.55544,0.55541,0.55543,12
2025-03-21 05:43:00,0.55543,0.55547,0.55542,0.55544,9
2025-03-21 05:44:00,0.55546,0.55552,0.55546,0.55551,13
2025-03-21 05:45:00,0.55551,0.55555,0.55551,0.55555,5
2025-03-21 05:46:00,0.55554,0.55565,0.55554,0.55562,14
2025-03-21 05:47:00,0.55561,0.55572,0.55561,0.55572,9
2025-03-21 05:48:00,0.55573,0.55573,0.55568,0.55571,13
2025-03-21 05:49:00,0.55575,0.55579,0.55572,0.55579,13
2025-03-21 05:50:00,0.5558,0.55596,0.5558,0.55593,18
2025-03-21 05:51:00,0.55593,0.55596,0.55592,0.55594,18
2025-03-21 05:52:00,0.55594,0.55597,0.55592,0.55592,13
2025-03-21 05:53:00,0.55591,0.55591,0.55586,0.5559,8
2025-03-21 05:54:00,0.55589,0.5559,0.55584,0.55585,17
2025-03-21 05:55:00,0.55585,0.55586,0.55584,0.55585,7
2025-03-21 05:56:00,0.55584,0.55586,0.55577,0.55577,18
2025-03-21 05:57:00,0.55579,0.5558,0.55572,0.55572,14
2025-03-21 05:58:00,0.55575,0.55583,0.55575,0.55581,20
2025-03-21 05:59:00,0.55579,0.55579,0.55574,0.55578,14
2025-03-21 06:00:00,0.55578,0.55588,0.55578,0.55583,16
2025-03-21 06:01:00,0.55582,0.55584,0.55579,0.55584,12
2025-03-21 06:02:00,0.55583,0.55586,0.55583,0.55584,12
